ZO6041,ZO6041.xml,Wed Apr 15 13:21:09 AEST 2020,,,,,,
FastTracks: v3.0.16,,,,,,,,
Pixel Calibration X:,0.087301587,,,,,,,
Pixel Calibration Y:,0.087301587,,,,,,,
Grain/Mica,Tracks,Area(cm2),Density(tracks/cm2),Average DPar(µmm),DPar Std Deviation,Notes,Cl,rmr0
Grain01,4,3.41E-05,1.17E+05,1.79,0.189171654,,0.409,0.813577513
Grain02,8,4.54E-05,1.76E+05,1.75,0.17283964,,0.343,0.818707664
Grain03,37,4.58E-05,8.07E+05,1.54,0.052354138,,0.33,0.791531747
Grain04,15,5.54E-05,2.71E+05,1.77,0.231565351,,0.481,0.806452644
Grain05,3,3.48E-05,8.63E+04,1.38,0,,0.38,0.810133726
Grain06,5,5.34E-05,9.37E+04,1.77,0.132239726,,0.388,0.81073593
Grain07,20,6.78E-05,2.95E+05,1.84,0.375524662,,0.355,0.815425137
Grain08,1,5.29E-05,1.89E+04,1.16,0,,0.394,0.816050005
Grain09,7,4.89E-05,1.43E+05,1.48,0,,0.339,0.81717146
Grain10,3,5.21E-05,5.76E+04,1.68,0.250360988,,0.364,0.819854005
Grain11,16,5.29E-05,3.03E+05,1.54,0.174462763,,0.352,0.813179749
Grain12,40,5.60E-05,7.14E+05,1.76,0.21895783,,0.365,0.794744738
Grain13,2,4.59E-05,4.36E+04,1.67,0,,0.443,0.808256254
Grain14,49,4.89E-05,1.00E+06,1.9,0.071133408,,0.378,0.808478792
Grain15,8,7.93E-05,1.01E+05,1.63,0.195099413,,0.402,0.811637855
Grain16,8,5.78E-05,1.39E+05,1.82,0.199813959,,0.302,0.815724963
Grain17,13,5.36E-05,2.42E+05,1.77,0.262353477,,0.437,0.805355835
Grain18,9,5.06E-05,1.78E+05,1.58,0.486480369,,0.444,0.81452283
Grain19,12,5.09E-05,2.36E+05,1.59,0.320272678,,0.353,0.815251583
Grain20,5,6.10E-05,8.20E+04,1.6,0.195183058,,0.384,0.816029805
Grain21,32,4.53E-05,7.07E+05,1.59,0.059354667,,0.484,0.803975239
Grain22,7,3.85E-05,1.82E+05,1.35,0.063658775,,0.496,0.800726322
Grain23,35,5.44E-05,6.43E+05,1.82,0.188125144,,0.415,0.786625221
Grain24,15,5.41E-05,2.78E+05,1.73,0.177510001,zoned?,0.331,0.81232585
Grain25,26,4.51E-05,5.77E+05,1.81,0.398995926,,0.579,0.8006412
Grain26,3,4.86E-05,6.17E+04,1.98,0.355762823,,0.422,0.808022443
Grain27,3,5.45E-05,5.50E+04,1.77,0.231565351,,0.484,0.802801772
Grain28,21,5.67E-05,3.70E+05,1.49,0.086626293,,0.439,0.806854147
Grain29,5,5.49E-05,9.11E+04,1.57,0.248468503,,0.433,0.80671883
Grain30,23,3.81E-05,6.03E+05,1.73,0.314707615,,0.364,0.806191015
Grain31,11,6.56E-05,1.68E+05,1.91,0.152554982,,0.413,0.8097834
Grain32,6,6.11E-05,9.82E+04,1.8,0,,0.359,0.817302319
Grain33,6,3.96E-05,1.51E+05,1.93,0.138007699,,0.444,0.816221926
Grain34,7,6.31E-05,1.11E+05,1.88,0.061664844,,0.412,0.804039459
Grain35,3,4.05E-05,7.40E+04,1.93,0.414021328,inclusion,0.545,0.804277238
Grain36,3,6.68E-05,4.49E+04,1.84,0.1290635,,0.43,0.808601569
Grain37,13,5.51E-05,2.36E+05,1.48,0.25356832,,0.339,0.817372908
Grain38,43,5.21E-05,8.25E+05,1.49,0.368187373,,0.31,0.788686955
