	Source file	DateTime	Date	Time	Duration(s)	Comments	Total points	Selection type	Components	Ca43_CPS	Ca43_CPS_Int2SE	IntStdWv	IntStdWv_Int2SE	Si_ppm_m29	Si_ppm_m29_Int2SE	Cl_ppm_m35	Cl_ppm_m35_Int2SE	Sm_ppm_m147	Sm_ppm_m147_Int2SE	Th_ppm_m232	Th_ppm_m232_Int2SE	U_ppm_m238	U_ppm_m238_Int2SE
A_Dur_1	ZO6335	13/02/2020 (5) 21:30:43.74	13/02/2020 (5)	21:30:43.74	18.357	ZO6335, 9:30:44 PM (18.3 sec)	75	Normal	1	2.48E+04	0.20E+04	39.3	1.0	Below LOD	Below LOD	Below LOD	Below LOD	239	14	286	16	12.9	1.0
A_Dur_2	ZO6335	13/02/2020 (5) 21:31:38.18	13/02/2020 (5)	21:31:38.18	18.6	ZO6335, 9:31:38 PM (18.6 sec)	76	Normal	1	2.59E+04	0.23E+04	39.3	1.0	Below LOD	Below LOD	Below LOD	Below LOD	234	15	270	17	12.32	0.91
A_Dur_3	ZO6335	13/02/2020 (5) 22:16:45.32	13/02/2020 (5)	22:16:45.32	18.844	ZO6335, 10:16:45 PM (18.8 sec)	77	Normal	1	2.88E+04	0.26E+04	39.3	1.0	Below LOD	Below LOD	890	160	216	12	267	16	13.07	0.99
A_Dur_4	ZO6335	13/02/2020 (5) 22:17:40.00	13/02/2020 (5)	22:17:40.00	18.6	ZO6335, 10:17:40 PM (18.6 sec)	76	Normal	1	3.11E+04	0.27E+04	39.3	1.0	Below LOD	Below LOD	840	130	216	12	263	14	11.87	0.86
																							
G_NIST612_1	ZO6335	13/02/2020 (5) 21:26:58.96	13/02/2020 (5)	21:26:58.96	11.161	ZO6335, 9:26:59 PM (17.6 sec)	46	Normal	1	7080	960	8.5	1.0	3.50E+05	0.46E+05	Below LOD	Below LOD	40.8	4.3	42.7	4.4	44.9	5.9
G_NIST612_2	ZO6335	13/02/2020 (5) 21:27:53.88	13/02/2020 (5)	21:27:53.88	13.931	ZO6335, 9:27:54 PM (17.3 sec)	57	Normal	1	6980	920	8.5	1.0	3.45E+05	0.35E+05	Below LOD	Below LOD	40.7	4.3	42.0	3.5	41.4	4.2
G_NIST612_3	ZO6335	13/02/2020 (5) 21:42:03.19	13/02/2020 (5)	21:42:03.19	14.261	ZO6335, 9:42:01 PM (18.1 sec)	58	Normal	1	6.6E+03	1.1E+03	8.5	1.0	3.40E+05	0.34E+05	5.1E+03	6.4E+03	35.2	3.9	35.3	2.8	36.6	4.0
G_NIST612_4	ZO6335	13/02/2020 (5) 21:42:57.14	13/02/2020 (5)	21:42:57.14	15.468	ZO6335, 9:42:56 PM (18.3 sec)	63	Normal	1	6840	780	8.5	1.0	3.49E+05	0.45E+05	2.2E+03	2.6E+03	37.7	3.6	36.7	3.1	34.7	3.3
G_NIST612_5	ZO6335	13/02/2020 (5) 21:53:20.53	13/02/2020 (5)	21:53:20.53	14.915	ZO6335, 9:53:18 PM (17.3 sec)	61	Normal	1	6850	810	8.5	1.0	3.08E+05	0.27E+05	Below LOD	Below LOD	36.1	3.4	34.8	2.8	34.7	3.7
G_NIST612_6	ZO6335	13/02/2020 (5) 21:54:13.92	13/02/2020 (5)	21:54:13.92	17.151	ZO6335, 9:54:12 PM (18.1 sec)	70	Normal	1	6290	720	8.5	1.0	3.30E+05	0.31E+05	Below LOD	Below LOD	36.4	3.4	37.3	3.1	36.3	3.0
G_NIST612_7	ZO6335	13/02/2020 (5) 22:04:33.09	13/02/2020 (5)	22:04:33.09	13.055	ZO6335, 10:04:28 PM (17.8 sec)	53	Normal	1	5920	740	8.5	1.0	3.43E+05	0.47E+05	Below LOD	Below LOD	38.4	4.5	35.9	3.5	36.1	3.8
G_NIST612_8	ZO6335	13/02/2020 (5) 22:05:25.12	13/02/2020 (5)	22:05:25.12	16.179	ZO6335, 10:05:23 PM (17.1 sec)	66	Normal	1	6580	810	8.5	1.0	3.38E+05	0.39E+05	Below LOD	Below LOD	39.2	3.8	38.9	3.2	38.8	4.0
G_NIST612_9	ZO6335	13/02/2020 (5) 22:20:36.21	13/02/2020 (5)	22:20:36.21	13.764	ZO6335, 10:20:30 PM (18.6 sec)	56	Normal	1	4940	520	8.5	1.0	3.37E+05	0.38E+05	Below LOD	Below LOD	38.8	3.8	41.5	4.0	39.8	4.7
G_NIST612_10	ZO6335	13/02/2020 (5) 22:21:29.12	13/02/2020 (5)	22:21:29.12	15.039	ZO6335, 10:21:25 PM (17.3 sec)	61	Normal	1	5480	780	8.5	1.0	3.63E+05	0.41E+05	Below LOD	Below LOD	39.2	3.5	38.7	3.0	39.3	3.8
																							
Mud_Tank_1	ZO6335	13/02/2020 (5) 21:28:49.77	13/02/2020 (5)	21:28:49.77	21.516	ZO6335, 9:28:50 PM (21.5 sec)	88	Normal	1	3.03E+04	0.27E+04	39.2	1.0	8.6E+03	2.6E+03	Below LOD	Below LOD	155.0	7.5	33.4	2.1	3.19	0.28
Mud_Tank_2	ZO6335	13/02/2020 (5) 21:29:44.21	13/02/2020 (5)	21:29:44.21	21.76	ZO6335, 9:29:44 PM (21.7 sec)	89	Normal	1	3.66E+04	0.27E+04	39.2	1.0	3.1E+03	1.6E+03	Below LOD	Below LOD	132.0	7.2	27.8	1.7	3.42	0.29
Mud_Tank_3	ZO6335	13/02/2020 (5) 22:18:33.46	13/02/2020 (5)	22:18:33.46	22.246	ZO6335, 10:18:33 PM (22.2 sec)	91	Normal	1	3.42E+04	0.37E+04	39.2	1.0	Below LOD	Below LOD	Below LOD	Below LOD	133.1	8.9	28.1	2.1	3.36	0.36
Mud_Tank_4	ZO6335	13/02/2020 (5) 22:19:28.38	13/02/2020 (5)	22:19:28.38	21.273	ZO6335, 10:19:28 PM (21.2 sec)	87	Normal	1	2.83E+04	0.33E+04	39.2	1.0	Below LOD	Below LOD	Below LOD	Below LOD	131.2	7.6	30.8	2.0	3.50	0.31
																							
Output_1_1	ZO6335	13/02/2020 (5) 21:32:38.69	13/02/2020 (5)	21:32:38.69	19.572	ZO6335, 9:32:39 PM (19.5 sec)	80	Normal	1	2.84E+04	0.18E+04	39.7	1.0	5.3E+03	2.0E+03	Below LOD	Below LOD	464	17	178.8	7.6	23.4	1.1
Output_1_2	ZO6335	13/02/2020 (5) 21:33:35.55	13/02/2020 (5)	21:33:35.55	20.544	ZO6335, 9:33:36 PM (20.5 sec)	84	Normal	1	2.88E+04	0.22E+04	39.7	1.0	5.4E+03	1.7E+03	Below LOD	Below LOD	403	16	96.1	3.4	13.47	0.68
Output_1_3	ZO6335	13/02/2020 (5) 21:34:30.23	13/02/2020 (5)	21:34:30.23	20.544	ZO6335, 9:34:30 PM (20.5 sec)	84	Normal	1	2.86E+04	0.16E+04	39.7	1.0	4.5E+03	1.9E+03	Below LOD	Below LOD	384	17	163.2	6.3	24.1	1.3
Output_1_4	ZO6335	13/02/2020 (5) 21:35:26.12	13/02/2020 (5)	21:35:26.12	17.349	ZO6335, 9:35:26 PM (19.3 sec)	71	Normal	1	2.88E+04	0.23E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	425	24	149.1	8.8	20.1	1.4
Output_1_5	ZO6335	13/02/2020 (5) 21:36:21.29	13/02/2020 (5)	21:36:21.29	13.892	ZO6335, 9:36:21 PM (18.8 sec)	57	Normal	1	3.13E+04	0.18E+04	39.7	1.0	4.3E+03	1.6E+03	Below LOD	Below LOD	422	21	170.6	9.7	25.9	1.7
Output_1_6	ZO6335	13/02/2020 (5) 21:37:15.48	13/02/2020 (5)	21:37:15.48	20.545	ZO6335, 9:37:15 PM (20.5 sec)	84	Normal	1	3.10E+04	0.21E+04	39.7	1.0	4.3E+03	1.5E+03	Below LOD	Below LOD	456	19	145.3	6.2	23.0	1.1
Output_1_7	ZO6335	13/02/2020 (5) 21:38:11.13	13/02/2020 (5)	21:38:11.13	19.572	ZO6335, 9:38:11 PM (19.5 sec)	80	Normal	1	2.97E+04	0.17E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	417	23	142.1	6.8	18.7	1.1
Output_1_8	ZO6335	13/02/2020 (5) 21:39:05.32	13/02/2020 (5)	21:39:05.32	14.356	ZO6335, 9:39:05 PM (20.5 sec)	59	Normal	1	3.34E+04	0.23E+04	39.7	1.0	5.4E+03	1.8E+03	Below LOD	Below LOD	417	27	206	12	26.7	1.7
Output_1_9	ZO6335	13/02/2020 (5) 21:40:01.70	13/02/2020 (5)	21:40:01.70	15.478	ZO6335, 9:40:02 PM (20 sec)	63	Normal	1	3.26E+04	0.26E+04	39.7	1.0	4.8E+03	2.1E+03	Below LOD	Below LOD	362	24	139.0	9.8	17.3	1.3
