ZO6041,ZO6041.xml,Fri Apr 24 15:09:57 AEST 2020
FastTracks: v3.0.16
Pixel Calibration X:,0.0873015873015873,
Pixel Calibration Y:,0.0873015873015873
Length Name,Length Number,Type,Apparent Length,Corrected Z Depth,True Length,Azimuth,Dip,Angle to CAxis,Average DPar(µmm),DPar Std Deviation,Notes
Length01,1,T,13.31,0.98,13.35,44.95,4.22,45.10,1.33,0.17,""
Length01b,1,T,14.48,1.47,14.56,58.13,5.81,58.31,1.33,0.17,""
Length02,1,T,11.61,1.47,11.70,86.00,7.23,86.03,1.31,0.21,""
Length03,1,T,14.02,0.98,14.05,61.31,4.01,61.38,1.46,0.21,""
Length03b,1,T,12.60,0.98,12.64,82.30,4.45,82.33,1.46,0.21,""
Length03c,1,T,11.66,1.96,11.82,77.08,9.56,77.27,1.46,0.21,""
Length04,1,T,11.42,0.49,11.43,78.08,2.46,78.09,1.46,0.23,""
Length04,2,T,10.70,4.42,11.57,83.18,22.44,83.70,1.46,0.23,""
Length05,1,T,12.18,0.00,12.18,41.46,0.00,41.46,1.40,0.26,""
Length05b,1,T,12.66,1.96,12.82,71.18,8.81,71.41,1.40,0.26,""
Length05b,2,T,14.63,0.98,14.66,41.90,3.84,42.04,1.40,0.26,""
Length05c,1,T,13.91,0.98,13.94,34.26,4.04,34.47,1.40,0.26,""
Length05d,1,T,14.36,2.45,14.57,41.69,9.70,42.61,1.40,0.26,""
Length06,1,T,14.49,1.47,14.56,35.93,5.80,36.34,1.40,0.24,""
Length06,2,T,11.14,1.47,11.23,33.14,7.53,33.89,1.40,0.24,""
Length07,1,T,12.43,0.49,12.44,84.02,2.26,84.03,1.50,0.19,""
Length07b,1,T,11.41,0.49,11.42,31.48,2.46,31.56,1.50,0.19,""
Length08,1,T,14.11,1.47,14.19,74.23,5.96,74.31,1.52,0.20,""
Length09,1,T,13.71,0.00,13.71,14.70,0.00,14.70,1.30,0.25,""
Length10,1,T,13.67,0.98,13.70,69.54,4.11,69.60,1.27,0.29,""
Length10b,1,T,14.68,0.49,14.69,80.21,1.92,80.21,1.27,0.29,""
Length10b,2,T,13.06,0.49,13.07,24.19,2.15,24.28,1.27,0.29,""
Length10c,1,T,14.25,0.98,14.28,40.80,3.94,40.96,1.27,0.29,""
Length11,1,T,12.45,0.49,12.46,43.07,2.26,43.11,1.27,0.21,""
Length11b,1,T,13.04,1.96,13.19,88.55,8.56,88.56,1.27,0.21,""
Length11c,1,T,13.75,1.96,13.89,52.58,8.12,53.02,1.27,0.21,""
Length11d,1,T,11.92,1.96,12.08,50.88,9.36,51.50,1.27,0.21,""
Length11d,2,T,13.55,0.98,13.58,53.58,4.14,53.69,1.27,0.21,""
