ZO6335,ZO6335.xml,Mon Apr 27 15:39:50 AEST 2020
FastTracks: v3.0.16
Pixel Calibration X:,0.0873015873015873,
Pixel Calibration Y:,0.0873015873015873
Length Name,Length Number,Type,Apparent Length,Corrected Z Depth,True Length,Azimuth,Dip,Angle to CAxis,Average DPar(µmm),DPar Std Deviation,Notes
Length01,1,T,13.72,0.49,13.73,82.06,2.05,82.07,2.07,0.15,""
Length01,2,T,12.64,0.49,12.65,52.93,2.22,52.96,2.07,0.15,""
Length01,3,T,14.40,0.49,14.41,45.16,1.95,45.19,2.07,0.15,""
Length01,4,T,12.86,1.47,12.94,55.37,6.53,55.63,2.07,0.15,""
Length01,5,T,13.32,0.00,13.32,74.46,0.00,74.46,2.07,0.15,""
Length01,6,T,14.22,0.00,14.22,87.49,0.00,87.49,2.07,0.15,""
Length01,7,T,12.06,2.94,12.42,49.69,13.72,51.06,2.07,0.15,""
Length01,8,T,15.24,1.96,15.36,37.02,7.34,37.63,2.07,0.15,""
Length01,9,T,13.93,1.96,14.06,86.34,8.02,86.37,2.07,0.15,""
Length01,10,T,14.92,0.49,14.92,25.41,1.88,25.48,2.07,0.15,""
Length02,1,T,11.80,1.96,11.96,70.17,9.44,70.45,2.23,0.21,""
Length02,2,T,12.51,2.45,12.75,56.54,11.10,57.24,2.23,0.21,""
Length02,3,T,12.71,0.49,12.72,71.17,2.21,71.18,2.23,0.21,""
Length02,4,T,14.69,0.49,14.70,77.31,1.91,77.32,2.23,0.21,""
Length03,1,T,15.19,1.47,15.27,65.34,5.53,65.47,1.97,0.23,""
Length03,2,T,12.78,0.00,12.78,85.82,0.00,85.82,1.97,0.23,""
Length03,3,T,13.98,1.96,14.12,51.96,7.99,52.39,1.97,0.23,""
Length03,4,T,12.29,0.00,12.29,60.91,0.00,60.91,1.97,0.23,""
Length03,5,T,11.91,2.94,12.27,65.23,13.88,66.00,1.97,0.23,""
Length04,1,T,15.55,0.98,15.58,26.64,3.61,26.86,2.26,0.16,""
Length04,2,T,12.20,2.45,12.45,81.09,11.37,81.27,2.26,0.16,""
Length04,3,T,13.93,0.00,13.93,75.04,0.00,75.04,2.26,0.16,""
Length04,4,T,15.96,0.00,15.96,33.62,0.00,33.62,2.26,0.16,""
Length04,5,T,13.18,0.00,13.18,45.42,0.00,45.42,2.26,0.16,""
Length04,6,T,13.60,0.00,13.60,87.69,0.00,87.69,2.26,0.16,""
Length04,7,T,14.45,0.49,14.46,76.83,1.95,76.84,2.26,0.16,""
Length04,8,T,15.11,0.49,15.12,40.94,1.86,40.98,2.26,0.16,""
Length04,9,T,15.09,0.00,15.09,44.60,0.00,44.60,2.26,0.16,""
Length04,10,T,15.53,0.49,15.54,72.13,1.81,72.14,2.26,0.16,""
Length04,11,T,13.10,0.49,13.11,84.63,2.15,84.63,2.26,0.16,""
Length04,12,T,13.58,1.47,13.66,42.91,6.19,43.27,2.26,0.16,""
Length04,13,T,13.61,1.47,13.69,83.21,6.17,83.24,2.26,0.16,""
Length04,14,T,13.76,0.98,13.79,89.10,4.08,89.11,2.26,0.16,""
Length05,1,T,12.80,0.00,12.80,78.96,0.00,78.96,1.75,0.19,""
